client_size;server_size;filter_size;L;k;w;avg_fp;avg_fn;status;log
50;5139;136720;20;15;3000;0.04;0;selected;results/cuckoo_client_sweep_MNIST_server_5139_20260622_132714/calibration/calibration_client_50_server_5139_filter_136720_lkw_20_15_3000.log
100;5139;136720;20;15;3000;0.1;0;selected;results/cuckoo_client_sweep_MNIST_server_5139_20260622_132714/calibration/calibration_client_100_server_5139_filter_136720_lkw_20_15_3000.log
150;5139;136720;20;15;3000;0.0533333;0.0133333;selected;results/cuckoo_client_sweep_MNIST_server_5139_20260622_132714/calibration/calibration_client_150_server_5139_filter_136720_lkw_20_15_3000.log
200;5139;213300;25;15;3000;0.11;0.01;selected;results/cuckoo_client_sweep_MNIST_server_5139_20260622_132714/calibration/calibration_client_200_server_5139_filter_213300_lkw_25_15_3000.log
250;5139;213300;25;15;3000;0.112;0.008;selected;results/cuckoo_client_sweep_MNIST_server_5139_20260622_132714/calibration/calibration_client_250_server_5139_filter_213300_lkw_25_15_3000.log
300;5139;136720;20;15;3000;0.106667;0.0133333;selected;results/cuckoo_client_sweep_MNIST_server_5139_20260622_132714/calibration/calibration_client_300_server_5139_filter_136720_lkw_20_15_3000.log
350;5139;213300;25;15;3000;0.142857;0.00571429;selected;results/cuckoo_client_sweep_MNIST_server_5139_20260622_132714/calibration/calibration_client_350_server_5139_filter_213300_lkw_25_15_3000.log
400;5139;213300;25;15;3000;0.075;0.01;selected;results/cuckoo_client_sweep_MNIST_server_5139_20260622_132714/calibration/calibration_client_400_server_5139_filter_213300_lkw_25_15_3000.log
450;5139;213300;25;15;3000;0.0844444;0.00888889;selected;results/cuckoo_client_sweep_MNIST_server_5139_20260622_132714/calibration/calibration_client_450_server_5139_filter_213300_lkw_25_15_3000.log
500;5139;213300;25;15;3000;0.144;0.008;selected;results/cuckoo_client_sweep_MNIST_server_5139_20260622_132714/calibration/calibration_client_500_server_5139_filter_213300_lkw_25_15_3000.log
